[INFO] 2025-12-03 12:13:57,004 Ответ готов: 200
[INFO] 2025-12-03 12:13:57,004 время обработки запроса = 1.177812099456787
[INFO] 2025-12-04 09:49:55,344 >>> задача выполнена
[INFO] 2025-12-04 09:50:33,627 Запрос пришёл: /
[ERROR] 2025-12-04 09:50:34,148 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,152 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,160 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,161 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,162 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,166 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,167 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,171 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,172 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,177 Ошибка: conversion from function to Decimal is not supported
[ERROR] 2025-12-04 09:50:34,178 Ошибка: conversion from function to Decimal is not supported
[INFO] 2025-12-04 09:50:34,190 Ответ готов: 200
[INFO] 2025-12-04 09:50:34,190 время обработки запроса = 0.5637867450714111
[INFO] 2025-12-04 09:50:55,337 >>> задача выполнена
[INFO] 2025-12-04 09:52:08,521 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 09:52:08,528 >>> задача выполнена
[INFO] 2025-12-04 09:52:08,647 Курс: 2.9087
[INFO] 2025-12-04 09:57:23,219 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 09:57:23,425 Курс: 2.9087
[INFO] 2025-12-04 09:57:50,355 Запрос пришёл: /
[INFO] 2025-12-04 09:57:50,602 Ответ готов: 200
[INFO] 2025-12-04 09:57:50,603 время обработки запроса = 0.24822211265563965
[INFO] 2025-12-04 09:57:53,233 Запрос пришёл: /
[INFO] 2025-12-04 09:57:53,239 Ответ готов: 200
[INFO] 2025-12-04 09:57:53,239 время обработки запроса = 0.008713006973266602
[INFO] 2025-12-04 09:58:23,169 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 09:58:23,258 Курс: 2.9087
[INFO] 2025-12-04 09:58:37,593 Запрос пришёл: /
[INFO] 2025-12-04 09:58:37,600 Ответ готов: 200
[INFO] 2025-12-04 09:58:37,600 время обработки запроса = 0.007020235061645508
[INFO] 2025-12-04 09:58:39,177 Запрос пришёл: /
[INFO] 2025-12-04 09:58:39,179 Ответ готов: 200
[INFO] 2025-12-04 09:58:39,179 время обработки запроса = 0.0018987655639648438
[INFO] 2025-12-04 09:58:39,534 Запрос пришёл: /
[INFO] 2025-12-04 09:58:39,538 Ответ готов: 200
[INFO] 2025-12-04 09:58:39,539 время обработки запроса = 0.005191326141357422
[INFO] 2025-12-04 09:58:39,827 Запрос пришёл: /
[INFO] 2025-12-04 09:58:39,836 Ответ готов: 200
[INFO] 2025-12-04 09:58:39,837 время обработки запроса = 0.008831024169921875
[INFO] 2025-12-04 09:58:40,173 Запрос пришёл: /
[INFO] 2025-12-04 09:58:40,176 Ответ готов: 200
[INFO] 2025-12-04 09:58:40,178 время обработки запроса = 0.004729032516479492
[INFO] 2025-12-04 09:59:23,160 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 09:59:23,232 Курс: 2.9087
[INFO] 2025-12-04 10:00:23,162 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:00:23,264 Курс: 2.9087
[INFO] 2025-12-04 10:01:23,171 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:01:26,586 Курс: 2.9087
[INFO] 2025-12-04 10:02:23,176 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:02:23,419 Курс: 2.9087
[INFO] 2025-12-04 10:03:23,187 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:03:23,607 Курс: 2.9087
[INFO] 2025-12-04 10:04:23,201 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:04:23,413 Курс: 2.9087
[INFO] 2025-12-04 10:05:23,192 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:05:23,411 Курс: 2.9087
[INFO] 2025-12-04 10:06:23,330 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:06:24,019 Курс: 2.9087
[INFO] 2025-12-04 10:07:23,214 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:07:23,371 Курс: 2.9087
[INFO] 2025-12-04 10:08:23,213 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:08:23,314 Курс: 2.9087
[INFO] 2025-12-04 10:09:23,207 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:09:23,292 Курс: 2.9087
[INFO] 2025-12-04 10:10:23,207 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:10:23,303 Курс: 2.9087
[INFO] 2025-12-04 10:13:24,120 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:13:24,565 Курс: 2.9087
[INFO] 2025-12-04 10:13:56,171 Запрос пришёл: /
[INFO] 2025-12-04 10:13:56,562 Ответ готов: 200
[INFO] 2025-12-04 10:13:56,562 время обработки запроса = 0.3914632797241211
[INFO] 2025-12-04 10:13:58,722 Запрос пришёл: /
[INFO] 2025-12-04 10:13:58,724 Ответ готов: 200
[INFO] 2025-12-04 10:13:58,724 время обработки запроса = 0.0020499229431152344
[INFO] 2025-12-04 10:14:00,394 Запрос пришёл: /
[INFO] 2025-12-04 10:14:00,396 Ответ готов: 200
[INFO] 2025-12-04 10:14:00,396 время обработки запроса = 0.0019690990447998047
[INFO] 2025-12-04 10:14:01,499 Запрос пришёл: /
[INFO] 2025-12-04 10:14:01,500 Ответ готов: 200
[INFO] 2025-12-04 10:14:01,500 время обработки запроса = 0.001573801040649414
[INFO] 2025-12-04 10:14:07,093 Запрос пришёл: /
[INFO] 2025-12-04 10:14:07,095 Ответ готов: 200
[INFO] 2025-12-04 10:14:07,095 время обработки запроса = 0.0017714500427246094
[INFO] 2025-12-04 10:14:18,807 Запрос пришёл: /admin/
[INFO] 2025-12-04 10:14:18,996 Ответ готов: 200
[INFO] 2025-12-04 10:14:18,996 время обработки запроса = 0.18867778778076172
[INFO] 2025-12-04 10:14:23,981 Запуск задачи dollar_to_byn
[INFO] 2025-12-04 10:14:24,056 Курс: 2.9087
[INFO] 2025-12-04 10:14:25,773 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-04 10:14:25,913 Ответ готов: 200
[INFO] 2025-12-04 10:14:25,913 время обработки запроса = 0.1405792236328125
[INFO] 2025-12-04 10:14:26,031 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-04 10:14:26,161 Ответ готов: 200
[INFO] 2025-12-04 10:14:26,161 время обработки запроса = 0.13017868995666504
